ID	title	author	DOI	vol	JOURNAL
EBib000312	Chemical Composition of the Essential Oil from Different Aerial Parts of Lavender (Lavandula coronopofolia Poiert) (Lamiaceae) Grown in Jordan	Talal Aburjai, Mohammad Hudiab & Vanni Cavrini	10.1080/10412905.2005.9698827	VOL. 17, 49-51 (Jan/Feb 2005) 	Journal of Essential Oil Research
EBib000313	Chemical Composition of the Essential Oil from Different Aerial Parts of Lavender(Lavandula coronopofolia Poiert)(Lamiaceae)grown in Jordan	Talal Aburjai, Mohammad Hudiab, Vanni Cavrini	10.1080/10412905.2005.9698827	VOL. 17, 49-51 (Jan/Feb 2005)	Journal of Essential Oil Research
EBib000314	Chemical Composition of the Essential Oil from Feijoa (Feijoa sellowiana Berg.) Peel	Xavier Fernandez, Andre-Michel Loiseau, Sophie Poulain, Louisette Lizzani-Cuvelier, Yves Monnier	10.1080/10412905.2004.9698719	VOL. 16, 274-275 (May/June 2004)	Journal of Essential Oil Research
EBib000315	Chemical Composition of the Essential Oil From Fimbristylis falcata (Vahi) Kunth	G.C. Shah, C.S. Manthela	10.1080/10412905.2009.9700242	VOL. 21, 519-521 (Nov/Dec 2009)	Journal of Essential Oil Research
EBib000316	Chemical Composition of the Essential Oil from Rhizomes, Leaves and Flowers of Zingiber zerumbet Smith from Reunion Island.	Jimmy Chane-Ming, Robert Vera, Jean-Claude Chalchal.	10.1080/10412905.2003.9712114	VOL. 15, 202-205 (May/June 2003)	Journal of Essential Oil Research
EBib000317	Chemical Composition of the Essential Oil from Roots of Philodendron acutatum Schott.	Francisco A. Viana, Manoel Andrade-Neto, Yvone B. M. Pouliquen, Vitoria G. Lucien.	10.1080/10412905.2002.9699814	VOL. 14, 172-174 (May/June 2002)	Journal of Essential Oil Research
EBib000318	Chemical Composition of the Essential Oil From Solidago puberula Nutt. Growing Wild in the North of Quebec	Marianne Piochon, Jean Legault & André Pichette	10.1080/10412905.2010.9700309	VOL. 22, 223-227(May/June 2010)	Journal of Essential Oil Research
EBib000319	Chemical Composition of the Essential Oil from the Herb of Erigeron annuus (L.) Pers.	Anna Lis, Justyna Mielczarek, Danuta Kalemba, Jolanta Nazaruk	10.1080/10412905.2008.9699999	VOL. 20, 229-232 (May/June 2008)	Journal of Essential Oil Research
EBib000320	Chemical Composition of the Essential Oil from the Leaves of Eupatorium triplinerve Vahl	Deepti Gupta, Reena Charles, S. N. Garg	10.1080/10412905.2004.9698774	VOL. 16, 473-475 (Sep/Oct 2004)	Journal of Essential Oil Research
EBib000321	Chemical Composition of the Essential Oil of Acinos hungaricus (Simonkai) Silica	Tatjana Jovanovic, Dusanka Kitic, Radosav Palic, Gordana Stojanovic, Mihajlo Ristic	10.1080/10412905.2002.9699752	VOL. 14, 29-30 (Jan/Feb 2002)	Journal of Essential Oil Research
EBib000322	Chemical Composition of the Essential Oil of Ajuga chamaecistus Ging. ssp. Chamaecistus from Iran	Hefzollah Mazloomifar, Mohammad Saber-Tehrani, AbdolhosseinRustaiyan, Shiva Masoudi	10.1080/10412905.2003.9712250	VOL. 15, 17-18 (Jan/Feb 2003)	Journal of Essential Oil Research
EBib000323	Chemical Composition of the Essential Oil of Ajuga chamaepitys Growing in Iran	Javad Azizan	10.1080/10412905.2002.9699877	VOL. 14, 344-345 (Sep/Oct 2002)	Journal of Essential Oil Research
EBib000324	Chemical Composition of the Essential Oil of an Interspecific Hybrid of Thyme (Thymus x oblongifolius opiz) Growing Wild in Lithuania	Kristina Loziene, Jone Valiciuniene, Petras R. Venskutonis	10.1080/10412905.2002.9699864	VOL. 14, 308-311 (July/Aug 2002	Journal of Essential Oil Research
EBib000325	Chemical Composition of the Essential Oil of Anaphalis contorta Hook f.	Chitra Pande , Rajesh K. Joshi & Subhash S. Sammal	10.1080/10412905.2008.9700054	VOL. 20, 444-445 (Sep/Oct 2008)	Journal of Essential Oil Research
EBib000326	Chemical Composition of the Essential Oil of Artemisia absinthium L. from Cuba	J.A. Pino,A. Rosado,V. Fuentes	10.1080/10412905.1996.9700690	VOL. 9, 87-89 (Jan/Feb 1997)	Journal of Essential Oil Research
EBib000327	Chemical Composition of the Essential Oil of Artemisia herba-alba Asso Grown in Algeria	Tahar Dob & Tarek Benabdelkader	10.1080/10412905.2006.9699206	VOL. 18, 685-690 (Sep/Oct 2006)	Journal of Essential Oil Research
EBib000328	Chemical Composition of the Essential Oil of Artemisia herba-alba Asso ssp. valentina (Lam.) Marcl.	Sofía Salido, Joaquín Altarejos, Manuel Nogueras, Adolfo Sánchez	10.1080/10412905.2001.9699675	VOL. 13, 221-224 (July/Aug 2001)	Journal of Essential Oil Research
EBib000329	Chemical Composition of the Essential Oil of Artemisia verlofiorum Lamotte Growing in Auvergne (France)	André-Paul Carnat, Jean-Claude Chalchat, Didier Fraisse & Jean-Louis Lamaison	10.1080/10412905.2001.9712226	VOL. 13, 336-339 (Sep/Oct 2001)	Journal of Essential Oil Research
EBib000330	Chemical Composition of the Essential Oil of Atlantia roxburghiana Hook f.	Diep Pharm Thi Minh, Houng Le Mai, Agata M. Pawlowska, Pier Luigi Cioni, Alessandra Braca.	10.1080/10412905.2010.9700254	VOL. 22, 8-10 (Jan/Feb 2010)	Journal of Essential Oil Research
EBib000331	Chemical Composition of the Essential Oil of Centaurium erythraea Rafn (Gentianaceae) From Serbia	Olga Jovanovic, Niko Radulovic, Gordana Stojanovic, Radosav Palic, Bojan Zlatkovic, Branko Gudzic.	10.1080/10412905.2009.9700181	VOL. 12, 317-322 (July/Aug 2009)	Journal of Essential Oil Research
EBib000332	Chemical Composition of the Essential Oil of Colquhounia coccinea Wall	Renu Bhatt, R.C. Pandalia, Chitra Pande	10.1080/10412905.2009.9700115	VOL. 21, 74-75 (Jan/Feb 2009)	Journal of Essential Oil Research
EBib000333	Chemical Composition of the Essential Oil of Cymbopogon citratus (DC.) Stapf. from Cuba	Jorge A. Pino & Aristldes Rosado	10.1080/10412905.2000.9699521	VOL. 12, 301-302 (May/June2000)	Journal of Essential Oil Research
EBib000334	Chemical Composition of the Essential Oil of Doronicum austraicum Jacq. subsp. giganteum (Griseb.) Stoj. Et Stef. (Compositae) From Serbia.	Jelena Lazarevic, Niko Radulovic, Radosav Palic, Bojan Zlatkovic.	10.1080/10412905.2009.9700230	VOL. 21, 507-510 (Nov/Dec 2009)	Journal of Essential Oil Research
EBib000335	Chemical Composition of the Essential Oil of Ducrosia anethifolia (DC.) Boiss. from Kerman Province in Iran	A. Mostafavi , D. Afzali & S. M. Mirtadzadini	10.1080/10412905.2008.9700073	VOL. 20, 509-511 (Nov/Dec 2008)	Journal of Essential Oil Research
EBib000336	Chemical Composition of the Essential Oil of Ducrosia assadii Alava. from Kerman Province in Iran	A. Mostafavi , T. Shamspur , D. Afazali & S. M. Mirtadzadini	10.1080/10412905.2010.9700329	VOL. 22, 300-302 (July/Aug 2010)	Journal of Essential Oil Research
EBib000337	Chemical Composition of the Essential Oil of Eryngium billardieri F. Delaroche from Iran	F. Sefidkon , M. Dabiri, A. Alamshahi	10.1080/10412905.2004.9698648	VOL. 16, 42-43 (Jan/Feb 2004)	Journal of Essential Oil Research
EBib000338	Chemical Composition of the Essential Oil of Helenium amarum (Raf.) H. Rock from Cuba	Jorge A. Pino, Rolando Marbot & M. Pilar Martíc	10.1080/10412905.2006.9699134	VOL. 18, 438-439 (July/Aug 2006)	Journal of Essential Oil Research
EBib000339	Chemical Composition of the Essential Oil of Hyptis glomerata Mart. ex Schrank (Lamiaceae)	Andreia F. Silva, Luiz C.A. Barbosa, Evandro Nascimento, Vicente W.D. Casali	10.1080/10412905.2000.9712201	VOL. 12, 725-727 (Nov/Dec 2000)	Journal of Essential Oil Research
EBib000340	Chemical Composition Of The Essential Oil Of Lantana Camara L. From Cuba	Jorge A. Pino,Rolando Marbot and Aristides Rosado,Carlos Romeu,M. Pilar Mart	10.1080/10412905.2004.9698692	Vol 16, 216-218 (May/June 2004)	Journal Of Essential Oil Research
EBib000341	Chemical Composition of the Essential Oil of Mentha pulegium L. from Bulgaria	A.Stoyanova, E.Georgiev, J.Kula, T.Majda	10.1080/10412905.2005.9698968	VOL. 17, 475-476 (Sep/Oct 2005)	Journal of Essential Oil Research
EBib000342	Chemical Composition of the Essential Oil of Micromeria libanotica Boiss., an Endemic Species of Lebanon	Youssef Diab, Lizette Auezova, Hanna Chebib, Jean-Claude Chalchat	10.1080/10412905.2005.9698959	VOL. 17, 449-450 (July/Aug 2005)	Journal of Essential Oil Research
EBib000343	Chemical Composition of the Essential Oil of Microtoena patchoulii [(C.B. Clarke Ex J.D. Hooker) C.Y. Wu et Hsuan]	Manami Senpuku , Kazuya Nonaka , Michiho Ito & Gisho Honda	10.1080/10412905.2007.9699297	VOL. 19, 336-337(July/Aug 2007)	Journal of Essential Oil Research
EBib000344	Chemical Composition of the Essential Oil of Ononis natrix L. Fabaceae	Farid Khallouki, Chalique Younos, Rachid Soulimani, Jean Marie Bessiere.	10.1080/10412905.2002.9699912	VOL. 14, 431-432 (Nov/Dec 2002)	Journal of Essential Oil Research
EBib000345	Chemical Composition of the Essential Oil of Phlomis bracteosa Royle ex Benth.	Rajesh K. Joshi & Chitra Pande	10.1080/10412905.2010.9700328	VOL. 22, 397-399 (July/Aug 2010)	Journal of Essential Oil Research
EBib000346	Chemical Composition of the Essential Oil of Prangos uechtritzii Boiss. et Hausskn. Fruits from Turkey	M. Ozcan, Y. Bagci, A. Akgul, H. Dural & J. Novak	10.1080/10412905.2000.9699493	VOL. 12, 183-185 (Mar/Apr 2000)	Journal of Essential Oil Research
EBib000347	Chemical Composition of the Essential Oil of Rhododendron lepidotum Wall. ex D. Don Growing in Kashmir Himalayas	Manzoor A. Rather, Shakeel U. Rehman, Shahnawaz N. Sofi, Abdul S. Shawl, Fauzia Mir and Mushtaq A. Qurishi 	10.1080/10412905.2011.9712277	VOL. 23, 25-28 (Nov/Dec 2011)	Journal of Essential Oil Research
EBib000348	Chemical Composition of the Essential Oil of Satureja boissieri Hausskn. ex Boiss.	Seyed Ebrahim Sajjadi, Mariam Baluchi	10.1080/10412905.2002.9699760	VOL. 14, 49-50 (Jan/Feb 2002)	Journal of Essential Oil Research
EBib000349	Chemical Composition of the Essential Oil of Seseli tortuosum L. ssp. kiabii Akhani. from Iran	Zohreh Habibi, Shiva Msoudi, Abdolhossein Rustaiyan	10.1080/10412905.2003.9698625	VOL. 15, 412-413 (Nov/Dec 2003)	Journal of Essential Oil Research
EBib000350	Chemical Composition of the Essential Oil of Stachys byzantina C. Koch. from Iran	Mahnaz Khanavi, Abbas Hadjiakhoondi, Abbas Shafiee, Shiva Masoudi & Abdolhosein Rustaiyan	10.1080/10412905.2003.9712070	VOL. 15, 77-78 (Mar/Apr 2003)	Journal of Essential Oil Research
EBib000351	Chemical Composition of the Essential Oil of Stachys schtschegleevii Sosn. from Iran	Hassan Norouzi-Arasi, Issa Yavari, Maryam Alibabaeii	10.1080/10412905.2004.9698706	VOL. 16, 231-232 (May/June 2004)	Journal of Essential Oil Research
EBib000352	Chemical Composition of the Essential Oil of Tagetes minuta L. from Zambia	E.H. Chisowa, D.R. Hall, D.I. Farman	10.1080/10412905.1998.9700873	VOL. 10, 183-184 (Mar/Apr 1998)	Journal of Essential Oil Research
EBib000353	Chemical Composition of the Essential Oil of Teucrium multicaule Montbret Et Aucher Ex	T. Polat, H. Özer, E. Öztürk, A. Çakir, A. Kandemir & Y. Demir	10.1080/10412905.2010.9700367	VOL. 22, 443-445 (Sep/Oct 2010)	Journal of Essential Oil Research
EBib000354	Chemical Composition of the Essential Oil of the Species Artemisia eriantha Ten. (Asteraceae) from Yugoslavia	Slobodan Milosavljevic , Dejan Djokovic , Branka Stevanovic , Olivera Glisic & Violeta Slavkovska	10.1080/10412905.2001.9699724	VOL. 13, 448-449 (Nov/Dec 2001)	Journal of Essential Oil Research
EBib000355	Chemical Composition of the Essential Oil of Thymus bracteosus Vis. ex Bentham (Lamiaceae)	Violeta N. Slavkovska, Branislava S. Lakuši?, Radiša B. Jan?i?, Neda A. Mimica-Duki? & Djordje S. Vuji?i?	10.1080/10412905.2006.9699099	VOL. 18, 310-311 (May/June 2006)	Journal of Essential Oil Research
EBib000356	Chemical Composition of the Essential Oil of Thymus x arundanus Wilk. and its Parents T. mastichina L. and T. baeticus Boiss ex Lacaita	M.C. Soriano, J.A. Sotomayor, E. Correal, P.S. Gomez, C.G Vallejo	10.1080/10412905.1997.9700784	VOL. 9, 593-594 (Sep/Oct 1997)	Journal of Essential Oil Research
EBib000357	Chemical Composition of the Essential Oil of Xylopia aethiopica (Dunal) A.ch. from Mali	B.Keita, L.Sidibe, G.Figueredo, J.-C.Chalchat	10.1080/10412905.2003.9712139	VOL. 15, 267-269 (July/Aug 2003)	Journal of Essential Oil Research
