pid,pname,pfid,phid,pgenus
360,Cinnamomum angustifolium,48,1,Cinnamomum
361,Cinnamomum aureofulvum,48,1,Cinnamomum
362,Cinnamomum durifolium,48,1,Cinnamomum
363,Cinnamomum fragrans,48,1,Cinnamomum
364,Cinnamomum iners,48,1,Cinnamomum
365,Cinnamomum magnifium,48,1,Cinnamomum
366,Cinnamomum montanum,62,1,Cinnamomum
367,Cinnamomum sericans,48,1,Cinnamomum
368,Cinnamomum zeylanicum,48,1,Cinnamomum
369,Cinnamosma fragrans,22,1,Cinnamosma
370,Cirsium japonicum,15,1,Cirsium
371,Cistus ladanifer,26,1,Cistus
372,Cistus monspeliensis,26,1,Cistus
373,Citrullus lanatus,31,1,Citrullus
374,Citrus aurantifolia,84,1,Citrus
375,Citrus aurantifolia Swingle (Kagzi lime),84,1,Citrus
376,Citrus aurantium,84,1,Citrus
377,Citrus aurantium L.,84,1,Citrus
378,Citrus bergamia,84,1,Citrus
379,Citrus clementina,84,1,Citrus
380,Citrus latifolia Tanaka (Seedless lime),84,1,Citrus
381,Citrus latifolia Tanaka x Citrus aurantifolia Swingle (Hybrid),84,1,Citrus
382,Citrus limon,84,1,Citrus
383,Citrus limon L. Burm.,84,1,Citrus
384,Citrus limon (L.) Burm.,84,1,Citrus
385,Citrus madurensis,84,1,Citrus
386,Citrus maxima,84,1,Citrus
387,Citrus paradisi,84,1,Citrus
388,Citrus paradisi x C. reticulata,84,1,Citrus
389,Citrus paradisi Macf.,84,1,Citrus
390,Citrus sinensis,84,1,Citrus
391,Citrus sinensis (Hongjiang),84,1,Citrus
392,Citrus sinensis (Sihui),84,1,Citrus
393,Citrus sinensis (Washington navel),84,1,Citrus
394,Citrus sinensis L Osbeck cv Doppio Sanguigno,84,1,Citrus
395,Citrus sinensis L cv Washington navel,84,1,Citrus
396,Citrus sinensis(Anliu),84,1,Citrus
397,Citrus tangerina,84,1,Citrus
398,Citrus unshiu,84,1,Citrus
399,Citrus unshiu x Citrus nobilis,84,1,Citrus
400,Citruslimon,84,1,Citruslimon
401,Citrussinensis L Osbeck cv Tarocco,84,1,Citrussinensis
402,Cleome coluteoides,27,1,Cleome
403,Clinopodium vulgare,47,1,Clinopodium
404,Clusia nemorasa,28,1,Clusia
405,Coatesia paniculata,84,1,Coatesia
406,Coespeletia mortizana,15,1,Coespeletia
407,Coespeletia spicata,15,1,Coespeletia
408,Coespeletia thyrsiformis,15,1,Coespeletia
409,Coleus Aromaticus,47,1,Coleus
410,Colquhounia coccinea,47,1,Colquhounia
411,Commiphora myrrha var molmol,21,1,Commiphora
412,Conyza albida,15,1,Conyza
413,Conyza canadensis,15,2,Conyza
414,Conyza canadensis (L.),15,2,Conyza
415,Conzya bonariensis,15,1,Conzya
416,Copaifera langsdorffii,37,1,Copaifera
417,Copaifera langsdorffii Desf.,37,1,Copaifera
418,Copaifera reticulata,37,1,Copaifera
419,Cordia leucocephala,19,1,Cordia
420,Cordia nitida,19,1,Cordia
421,Coriandrum sativum,11,1,Coriandrum
422,Coriandrum sativum microcarpum,11,1,Coriandrum
423,Coriandrum sativum vulgare,11,1,Coriandrum
424,Coridothymus capitatus,47,1,Coridothymus
425,Corymbia citriodora,62,1,Corymbia
426,Couroupita guianensis,49,1,Couroupita
427,Craniotome furcata,47,1,Craniotome
428,Crassocephalum biafrae,15,1,Crassocephalum
429,Crassocephalum bougheyanum,15,1,Crassocephalum
430,Crassocephalum crepidioides,15,1,Crassocephalum
431,Crassocephalum mannii,15,1,Crassocephalum
432,Crassocephalum montuosum,15,1,Crassocephalum
433,Crassocephalum rubens,15,1,Crassocephalum
434,Crassocephalum vitellinum,15,1,Crassocephalum
435,Crinum latifolium,5,1,Crinum
436,Crithmum maritimum,11,1,Crithmum
437,Croton cajucara,36,1,Croton
438,Croton campestris,36,1,Croton
439,Croton flavens,36,1,Croton
440,Croton jimenezii,36,1,Croton
441,Croton oligandrum,36,1,Croton
442,Croton sacaquinha,36,1,Croton
443,Croton sonderianus,36,1,Croton
444,Croton zehntneri Pax et Hoff,36,1,Croton
445,Cunila angustifolia,47,1,Cunila
446,Cunila galioides,47,1,Cunila
447,Cunila spicata,47,1,Cunila
448,Cupressus arizonica,32,1,Cupressus
449,Cupressus atlantica,32,1,Cupressus
450,Cupressus cashmeriana,32,1,Cupressus
451,Cupressus chengiana,32,1,Cupressus
452,Cupressus duclouxiana,32,1,Cupressus
453,Cupressus funebris,32,1,Cupressus
454,Cupressus guadalupensis,32,1,Cupressus
455,Cupressus macnabiana,32,1,Cupressus
456,Cupressus macrocarpa,32,1,Cupressus
457,Cupressus sempervirens,32,1,Cupressus
458,Cupressus tonkinensis,32,1,Cupressus
459,Cupressus torulosa,32,1,Cupressus
460,Curcuma aeruginosa,101,1,Curcuma
461,Curcuma angustifolia,101,1,Curcuma
462,Curcuma haritha,101,1,Curcuma
463,Curcuma leucorhiza,101,1,Curcuma
464,Curcuma longa,101,1,Curcuma
465,Curcuma longa L.,101,1,Curcuma
466,Cyclotrichium leucotrichum,47,1,Cyclotrichium
467,Cyclotrichium straussii,47,1,Cyclotrichium
468,Cyclotrichium strussii,47,1,Cyclotrichium
469,Cymbocarpum wiedemannii,11,1,Cymbocarpum
470,Cymbopogan citratus,76,1,Cymbopogan
471,Cymbopogon afronardus,76,1,Cymbopogon
472,Cymbopogon citratus,76,1,Cymbopogon
473,Cymbopogon distans,75,1,Cymbopogon
474,Cymbopogon flexuosus,40,1,Cymbopogon
475,Cymbopogon flexuosus (Nees ex Steud.) Wats.,75,1,Cymbopogon
476,Cymbopogon giganteus,76,1,Cymbopogon
477,Cymbopogon martini var.martini,76,1,Cymbopogon
478,Cymbopogon martinii (Roxb.) Wats. var. martinii,76,1,Cymbopogon
479,Cymbopogon martinii Stapf.,76,1,Cymbopogon
480,Cymbopogon martinii var. motia,76,1,Cymbopogon
481,Cymbopogon martinni,76,1,Cymbopogon
482,Cymbopogon microstachys,76,1,Cymbopogon
483,Cymbopogon nardus,76,1,Cymbopogon
