	Alpinia zerumbet	Alpinia cristata,Alpinia fimbriata,Alpinia fluvitialis,Alpinia nutans longiramosa,Alpinia penicillata,Alpinia schumanniana,Alpinia speciosa,Alpinia speciosa longiramosa,Amomum nutans,Catimbium speciosum,Costus zerumbet,Languas schumanniana,Languas speciosa,Renealmia nutans,Renealmia spectabilis,Zerumbet speciosum
	Ambrosia artemisiifolia	Iva monophylla
	Ambrosia hispida	Ambrosia californica,Ambrosia hispida,Ambrosia lindheimeriana,Ambrosia peruviana,Ambrosia psilostachya californica,Ambrosia psilostachya lindheimeriana,Ambrosia rugelii
	Ammoides atlantica	Ptychotis atlantica
	Ammoides pusilla	Ammoides pusilla trachysperma,Ammoides verticillata,Apium ammios,Bunium ammoides,Carum ammoides,Critamus ammoides,Petroselinum ammoides,Ptychotis ammoides,Ptychotis aspera,Ptychotis morisiana,Ptychotis trachysperma,Ptychotis verticillata,Seseli ammoides,Seseli corsicum,Seseli pusillum,Seseli turbith,Seseli verticillatum,Sium verticillatum,Ammoides pusilla trachysperma,Ammoides verticillata,Apium ammios,Bunium ammoides,Carum ammoides,Critamus ammoides,Petroselinum ammoides,Ptychotis ammoides,Ptychotis aspera,Ptychotis morisiana,Ptychotis trachysperma,Ptychotis verticillata,Seseli ammoides,Seseli corsicum,Seseli pusillum,Seseli turbith,Seseli verticillatum,Sium verticillatum
	Amomum subulatum	Cardamomum subulatum
	Amoora rohituka	Aglaia aphanamixis,Aglaia beddomei,Aglaia cochinchinensis,Aglaia gigantea,Aglaia janowskyi,Aglaia polystachya,Alliaria cuneata,Amoora amboinensis,Amoora aphanamixis,Amoora beddomei,Amoora cumingiana,Amoora elmeri,Amoora gigantea,Amoora grandifolia,Amoora janowskyi,Amoora macrophylla,Amoora myrmecophila,Amoora perrottetiana,Amoora polillensis,Amoora polystachya,Amoora rohituka,Amoora sogerensis,Amoora timorensis,Andersonia rohituka,Aphanamixis agusanensis,Aphanamixis apoensis,Aphanamixis blumei,Aphanamixis cochinchinensis,Aphanamixis coriacea,Aphanamixis davaoensis,Aphanamixis elmeri,Aphanamixis grandifolia,Aphanamixis lauterbachii,Aphanamixis macrocalyx,Aphanamixis obliquifolia,Aphanamixis perrottetiana,Aphanamixis pinatubensis,Aphanamixis polillensis,Aphanamixis rohituka,Aphanamixis schlechteri,Aphanamixis sinensis,Aphanamixis timorensis,Aphanamixis tripetala,Aphanamixis velutina,Aphanomixis amboinensis,Aphanomixis cumingiana,Aphanomixis myrmecophila,Buchanania spicata,Chuniodendron spicatum,Chuniodendron yunnanense,Dysoxylum cuneatum,Dysoxylum spiciflorum,Guarea amaris,Meliacea wightiana,Piper hyalinum,Ricinocarpodendron cumingianum,Ricinocarpodendron polystachyum,Sphaerosacme polystachya,Sphaerosacme rohituka,Sphaerosacme spicata,Trichilia tripetala
	Anacardium humile	Anacardium humile,Anacardium humile,Anacardium mediterraneum,Anacardium pumilum,Monodynamus humilis
	Anaphalis contorta	Anaphalis contorta pellucida,Anaphalis falconeri,Anaphalis franchetiana,Antennaria contorta,Antennaria tenella,Gnaphalium contortum,Gnaphalium pellucidum,Gnaphalium simplicicaule,Gnaphalium tenellum
	Anemia tomentosa var. anthriscifolia	Anemia anthriscifolia,Anemia anthriscifolia nana,Anemia fulva cavanillesii,Anemia fulva decomposita,Hemianemia anthriscifolia,Hemianemia anthriscifolia nana
	Anethum graveolens	Anethum arvense,Anethum involucratum,Angelica graveolens,Carum graveolens,Celeri graveolens,Ferula graveolens,Heracleum graveolens,Pastinaca anethum,Pastinaca graveolens,Peucedanum anethum,Peucedanum graveolens,Peucedanum graveolens,Peucedanum sowa,Selinum anethum,Selinum graveolens,Sium apium,Sium graveolens,Anethum arvense,Anethum involucratum,Angelica graveolens,Carum graveolens,Celeri graveolens,Ferula graveolens,Heracleum graveolens,Pastinaca anethum,Pastinaca graveolens,Peucedanum anethum,Peucedanum graveolens,Peucedanum graveolens,Peucedanum sowa,Selinum anethum,Selinum graveolens,Sium apium,Sium graveolens
