pid	synonyms
125	Arabis zeyheriana
125	Conringia thaliana
125	Hesperis thaliana
125	Phryne gesneri
125	Sisymbrium bellidifolium
125	Sisymbrium thalianum
125	Stenophragma thalianum
126	Argania sideroxylon
126	Argania spinosa
126	Argania spinosa apiculata
126	Argania spinosa mutica
126	Sideroxylon argan
126	Verlangia argan
127	Arnica bernardina
127	Arnica chamissonis andina
127	Arnica chamissonis bernardina
127	Arnica chamissonis foliosa
127	Arnica chamissonis incana
127	Arnica chamissonis incana
127	Arnica chamissonis incana
127	Arnica chamissonis jepsoniana
127	Arnica chamissonis maguirei
127	Arnica foliosa
127	Arnica foliosa andina
127	Arnica incana
127	Arnica maguirei
127	Arnica montana
128	Ammi anethifolium
128	Daucus artedia
128	Tordylium arthedia
132	Abrotanum alpestre
132	Abrotanum ambiguum
132	Abrotanum brachylobium
132	Abrotanum congestum
132	Abrotanum incanescens
132	Abrotanum mas
132	Abrotanum pauciflorum
132	Abrotanum pedunculare
132	Abrotanum platylobum
132	Abrotanum pulverulentum
132	Abrotanum rhodanicum
132	Abrotanum suave
132	Abrotanum virgatum
132	Abrotanum viridulum
132	Abrotanum xerophilum
132	Artemisia abrotanifolium
132	Artemisia altissima
132	Artemisia anethifolia
132	Artemisia elatior
132	Artemisia elegans
132	Artemisia foeniculacea
132	Artemisia herbacea
132	Artemisia herbacea
132	Artemisia humilis
132	Artemisia naronitana
132	Artemisia paniculata
132	Artemisia procera
132	Artemisia sabulosa
132	Artemisia tenuissima
133	Absinthium bipedale
133	Absinthium majus
133	Absinthium officinale
133	Absinthium vulgare
133	Artemisia albida
133	Artemisia arborescens cupaniana
133	Artemisia inodora
133	Artemisia pendula
133	Artemisia rehan
133	Artemisia rhaetica
135	Artemisia annua macrocephala
135	Artemisia chamomilla
135	Artemisia exilis
135	Artemisia hyrcana
135	Artemisia plumosa
135	Artemisia stewartii
135	Artemisia suaveolens
135	Artemisia wadei
136	Absinthium arborescens
136	Absinthium argenteum
136	Artemisia argentea
136	Artemisia elegans
137	Artemisia canescens
137	Artemisia potentillifolia
138	Artemisia aucheri
138	Artemisia griffithiana
138	Artemisia maritima aucheri
138	Artemisia maritima beta
139	Artemisia barrelieri
139	Seriphidium barrelieri
142	Artemisia campestris
142	Draconia ledebouriana
142	Oligosporus ledebourianus
142	Artemisia campestris
142	Draconia ledebouriana
142	Oligosporus ledebourianus
144	Artemisia ciniformis
145	Absinthium grandiflorum
145	Absinthium nitens
145	Absinthium sericeum
145	Artemisia borealis ledebouri
145	Artemisia coerulescens
145	Artemisia commutata pallasiana
145	Artemisia grandiflorum
145	Artemisia holosericea
145	Artemisia holosericea grandiflora
145	Artemisia holosericea parviflora
145	Artemisia nitens
145	Artemisia sericea gmeliniana
145	Artemisia sericea grandiflora
145	Artemisia sericea ledebouriana
145	Artemisia sericea nitens
145	Artemisia sericea pallasiana
145	Artemisia sericea parviflora
145	Artemisia sericea parviflora
146	Absinthium grandiflorum
146	Absinthium nitens
146	Absinthium sericeum
146	Artemisia borealis ledebouri
146	Artemisia coerulescens
146	Artemisia commutata pallasiana
146	Artemisia grandiflorum
146	Artemisia holosericea
146	Artemisia holosericea grandiflora
146	Artemisia holosericea parviflora
146	Artemisia nitens
146	Artemisia sericea gmeliniana
146	Artemisia sericea grandiflora
146	Artemisia sericea ledebouriana
146	Artemisia sericea nitens
146	Artemisia sericea pallasiana
146	Artemisia sericea parviflora
146	Artemisia sericea parviflora
148	Artemisia caerulescens densiflora
148	Artemisia caerulescens densiflora
148	Artemisia caerulescens densiflora
148	Artemisia densiflora
148	Artemisia gallica densiflora
149	Artemisia deserti
150	Artemisia diffusa
151	Absinthium cernuum
151	Artemisia aromatica
151	Artemisia cernua
