pid	pname	scientificName (gbif)	Normalized name	Details	pfid	phid	Error	kingdom	phylum	class	order	family	genus	species		Synonym 
1568	Sideritis montana	Sideritis montana L.	Sideritis montana	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis montana		#N/A
1569	Sideritis pusilla (Lange) Pau ssp. pusilla var. typica	Sideritis pusilla Pau	Sideritis pusilla 	Pau subsp. pusilla var. typica	47	1	The specific subspecies was not found	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis pusilla		#N/A
1570	Sideritis pusilla ssp. almeriensis (Pau) Malagarriga var. typica	Sideritis pusilla Pau	Sideritis pusilla 	subsp. almeriensis (Pau) Malagarriga var. typica	47	1	The specific subspecies was not found	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis pusilla		#N/A
1571	Sideritis pusilla ssp. almeriensis var. littoralis Font Quer	Sideritis pusilla Pau	Sideritis pusilla 	subsp. almeriensis var. littoralis Font Quer	47	1	The specific subspecies was not found	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis pusilla		#N/A
1572	Sideritis pusilla ssp. almeriensis var. salina Font Quer	Sideritis pusilla var. salina Font Quer	Sideritis pusilla 	subsp. almeriensis var. salina Font Quer	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis ibanezii		#N/A
1573	Sideritis pusilla ssp. flavovirens (Rouy) Malagarriga	Sideritis pusilla subsp. flavovirens (Rouy) Malag.	Sideritis pusilla 	subsp. flavovirens (Rouy) Malag.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis ibanezii		#N/A
1574	Sideritis pusilla ssp. osteoxylla (Pau) PallarÃ©s	Sideritis pusilla subsp. osteoxylla (Pau ex Vicioso) Pallarés	Sideritis pusilla 	subsp. osteoxylla (Pau ex Vicioso) Pallarés	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis osteoxylla		#N/A
1575	Sideritis pusilla ssp. pusilla var. carthaginensis Font Quer	Sideritis pusilla var. carthaginensis Font Quer	Sideritis pusilla 	var. carthaginensis Font Quer	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis pusilla		#N/A
1576	Sideritis pusilla ssp. pusilla var. granatensis (Pau) Font Quer	Sideritis pusilla subsp. granatensis (Pau) D.Rivera & Obón	Sideritis pusilla 	subsp. granatensis (Pau) D.Rivera & Obón	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis pusilla		#N/A
1577	Sideritis raeseri ssp. attica	Sideritis raeseri subsp. attica (Heldr.) Papan. & Kokkini	Sideritis raeseri 	subsp. attica (Heldr.) Papan. & Kokkini	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis raeseri		#N/A
1578	Sideritis raeseri ssp. raeseri	Sideritis raeseri subsp. raeseri	Sideritis raeseri 	subsp. raeseri	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis raeseri		#N/A
1579	Sideritis scardica	Sideritis scardica Griseb.	Sideritis scardica	Griseb.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis scardica		#N/A
1580	Sideritis sipylea	Sideritis sipylea Boiss.	Sideritis sipylea	Boiss.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis sipylea		#N/A
1581	Sideritis stricta	Sideritis stricta Boiss. & Heldr.	Sideritis stricta	Boiss. & Heldr.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis stricta		#N/A
1582	Sideritis syriaca	Sideritis syriaca L.	Sideritis syriaca	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis syriaca		#N/A
1583	Sideritis syriaca ssp. syriaca	Sideritis syriaca subsp. syriaca	Sideritis syriaca 	subsp. syriaca	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis syriaca		#N/A
1584	Sideritis taurica	Sideritis taurica Willd.	Sideritis taurica	Willd.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Sideritis	Sideritis taurica		#N/A
1585	Silphium integrifolium	Silphium integrifolium Michx.	Silphium integrifolium	Michx.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Silphium	Silphium integrifolium		#N/A
1586	Siparuna guianensis	Siparuna guianensis Aubl.	Siparuna guianensis	Aubl.	90	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Siparunaceae	Siparuna	Siparuna guianensis		#N/A
1587	Siparuna thecaphora	Siparuna thecaphora A.DC.	Siparuna thecaphora	A.DC.	90	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Siparunaceae	Siparuna	Siparuna thecaphora		#N/A
1588	Sipharuna thecaphora	Siparuna thecaphora A.DC.	Siparuna thecaphora	A.DC.	90	1	Typographical error in the Genus and duplicate entry	Plantae	Tracheophyta	Magnoliopsida	Laurales	Siparunaceae	Siparuna	Siparuna thecaphora		#N/A
1589	Sium latifolium	Sium latifolium L.	Sium latifolium	L.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Sium	Sium latifolium		#N/A
1590	Smallanthus maculatus	Smallanthus maculatus (Cav.) H.Rob.	Smallanthus maculatus	(Cav.) H.Rob.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Smallanthus	Smallanthus maculatus		#N/A
1591	Smyrnium cordifolium	Smyrnium cordifolium Boiss.	Smyrnium cordifolium	Boiss.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Smyrnium	Smyrnium cordifolium		#N/A
1592	Solidago decurrens	Solidago decurrens Lour.	Solidago decurrens	Lour.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Solidago	Solidago decurrens		#N/A
1593	Solidago litoralis	Solidago litoralis Savi	Solidago litoralis	Savi	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Solidago	Solidago litoralis		#N/A
1594	Solidago puberula	Solidago puberula Nutt.	Solidago puberula	Nutt.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Solidago	Solidago puberula		#N/A
1595	Solidago virgaurea	Solidago virgaurea L.	Solidago virgaurea	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Solidago	Solidago virgaurea		#N/A
1596	Sphaeranthus indicus	Sphaeranthus indicus L.	Sphaeranthus indicus	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Sphaeranthus	Sphaeranthus indicus		#N/A
1597	Sphaerantia discolor	Sphaerantia discolor Peter G.Wilson & B.Hyland	Sphaerantia discolor	Peter G.Wilson & B.Hyland	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Sphaerantia	Sphaerantia discolor		#N/A
1598	Sphaerentia chartacea	Sphaerantia chartacea Peter G.Wilson & B.Hyland	Sphaerantia chartacea	Peter G.Wilson & B.Hyland	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Sphaerantia	Sphaerantia chartacea		#N/A
1599	Sphaerentia discolor	Sphaerantia discolor Peter G.Wilson & B.Hyland	Sphaerantia discolor	Peter G.Wilson & B.Hyland	62	1	Typographical Error and the right spelling already exists	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Sphaerantia	Sphaerantia discolor		#N/A
1600	Sphagneticola trilobataÂ (L.)	Sphagneticola trilobata (L.) Pruski	Sphagneticola trilobata	(L.) Pruski	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Sphagneticola	Sphagneticola trilobata		#N/A
1601	Spilanthes acmella	Spilanthes acmella A.Chev.	Spilanthes acmella	A.Chev.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Spilanthes	Spilanthes acmella		#N/A
1602	Stachys Corsica	Stachys corsica Pers.	Stachys corsica	Pers.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys corsica		#N/A
1603	Stachys acerosa	Stachys acerosa Boiss.	Stachys acerosa	Boiss.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys acerosa		#N/A
1604	Stachys asterocalyx	Stachys asterocalyx Rech.f.	Stachys asterocalyx	Rech.f.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys asterocalyx		#N/A
1605	Stachys benthamiana	Stachys benthamiana Boiss.	Stachys benthamiana	Boiss.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys benthamiana		#N/A
1606	Stachys byzantina	Stachys byzantina K.Koch	Stachys byzantina	K.Koch	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys byzantina		#N/A
1607	Stachys circinnata	Stachys circinata L'Hér.	Stachys circinata	L'Her.	47	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys circinata		#N/A
1608	Stachys lanata	Stachys lanata Jacq.	Stachys lanata	Jacq.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys byzantina		#N/A
1609	Stachys lavandulifolia	Stachys lavandulifolia Vahl	Stachys lavandulifolia	Vahl	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys lavandulifolia		#N/A
1610	Stachys milanii	Stachys milanii Petrov. ex Magnier	Stachys milanii	Petrov. ex Magnier	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys milanii		#N/A
1611	Stachys multicaulis	Stachys multicaulis Benth.	Stachys multicaulis	Benth.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys multicaulis		#N/A
1612	Stachys obtusicrena	Stachys obtusicrena Boiss.	Stachys obtusicrena	Boiss.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys obtusicrena		#N/A
1613	Stachys officinalis	Stachys officinalis A.Kerner	Stachys officinalis	A.Kerner	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys officinalis		#N/A
1614	Stachys persica	Stachys persica S.G.Gmel. ex C.A.Mey.	Stachys persica	S.G.Gmel. ex C.A.Mey.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys alpina		Stachys alpina GBIF 2685484
1615	Stachys pilifera	Stachys pilifera Benth.	Stachys pilifera	Benth.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys pilifera		#N/A
1616	Stachys recta	Stachys recta L.	Stachys recta	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys recta		#N/A
1617	Stachys schtschegleevii	Stachys schtschegleevii Sosn. ex Grossh.	Stachys schtschegleevii	Sosn. ex Grossh.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys inflata		Stachys inflata GBIF 2685484
1618	Steganotaenia araliacea	Steganotaenia araliacea Hochst.	Steganotaenia araliacea	Hochst.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Steganotaenia	Steganotaenia araliacea		#N/A
1619	Stenotaenia nudicaulis	Stenotaenia nudicaulis Boiss.	Stenotaenia nudicaulis	Boiss.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Stenotaenia	Stenotaenia nudicaulis		#N/A
1620	Sterculia tragacantha	Sterculia tragacantha Lindl.	Sterculia tragacantha	Lindl.	92	1		Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Sterculia	Sterculia tragacantha		#N/A
1621	Sundacarpus amarus	Sundacarpus amarus (Blume) C.N.Page	Sundacarpus amarus	(Blume) C.N.Page	77	1		Plantae	Tracheophyta	Pinopsida	Pinales	Podocarpaceae	Sundacarpus	Sundacarpus amarus		#N/A
1622	Syzygium aromaticum	Syzygium aromaticum (L.) Merr. & L.M.Perry	Syzygium aromaticum	(L.) Merr. & L.M.Perry	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Syzygium	Syzygium aromaticum		#N/A
1623	Syzygium cordatum	Syzygium cordatum Hochst. ex C.Krauss	Syzygium cordatum	Hochst. ex C.Krauss	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Syzygium	Syzygium cordatum		#N/A
1624	Syzygium gardneri	Syzygium gardneri Thwaites	Syzygium gardneri	Thwaites	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Syzygium	Syzygium gardneri		#N/A
1625	Syzygium malaccense	Syzygium malaccense (L.) Merr. & L.M.Perry	Syzygium malaccense	(L.) Merr. & L.M.Perry	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Syzygium	Syzygium malaccense		#N/A
1626	Tagetes aff. maxima	Tagetes maxima Kuntze	Tagetes aff. maxima	Kuntze	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tagetes	Tagetes mandonii		Tagetes mandonii GBIF 2685484
1627	Tagetes erecta	Tagetes erecta L.	Tagetes erecta	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tagetes	Tagetes erecta		#N/A
1628	Tagetes filifolia	Tagetes filifolia Lag.	Tagetes filifolia	Lag.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tagetes	Tagetes filifolia		#N/A
1629	Tagetes lucida	Tagetes lucida Cav.	Tagetes lucida	Cav.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tagetes	Tagetes lucida		#N/A
1630	Tagetes minuta	Tagetes minuta L.	Tagetes minuta	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tagetes	Tagetes minuta		#N/A
1631	Tagetes multiflora	Tagetes multiflora Kunth	Tagetes multiflora	Kunth	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tagetes	Tagetes multiflora		#N/A
1632	Tagetes patula	Tagetes patula L.	Tagetes patula	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tagetes	Tagetes erecta		Tagetes erecta GBIF 2685484
1633	Tagetes tenuifolia	Tagetes tenuifolia Cav.	Tagetes tenuifolia	Cav.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tagetes	Tagetes tenuifolia		#N/A
1634	Tagetes zipaquinensis	Tagetes zypaquinensis Humb. & Bonpl.	Tagetes zypaquinensis	Humb. & Bonpl.	15	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tagetes	Tagetes zypaquinensis		#N/A
1635	Talauma ovata	Talauma ovata A.St.-Hil.	Talauma ovata	A.St.-Hil.	53	1		Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Magnoliaceae	Magnolia	Magnolia ovata		Magnolia ovata GBIF 2685484
1636	Talisia esculenta	Talisia esculenta Radlk.	Talisia esculenta	Radlk.	86	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Talisia	Talisia esculenta		#N/A
1637	Tamarindus indica L.	Tamarindus indica L.	Tamarindus indica	L.	37	1		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Tamarindus	Tamarindus indica		#N/A
1638	Tanacetum annuum	Tanacetum annuum L.	Tanacetum annuum	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum annuum		#N/A
1639	Tanacetum balsamita L ssp.balsamitoides	Tanacetum balsamita subsp. balsamitoides (Sch.Bip.) Grierson	Tanacetum balsamita	subsp. balsamitoides (Sch.Bip.) Grierson	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum balsamitoides		#N/A
1640	Tanacetum cadmeum	Tanacetum cadmeum (Boiss.) Heywood	Tanacetum cadmeum	(Boiss.) Heywood	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum cadmeum		#N/A
1641	Tanacetum cadmeum ssp. orientale	Tanacetum cadmeum subsp. orientale Grierson	Tanacetum cadmeum 	subsp. orientale Grierson	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum cadmeum		#N/A
1642	Tanacetum densum ssp. Sivasicum	Tanacetum densum (Labill.) Heywood	Tanacetum densum 	subsp. sivasicum (Labill.) Heywood	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum densum		#N/A
1643	Tanacetum dolichophyllum	Tanacetum dolichophyllum (S.Kitam.) S.Kitam.	Tanacetum dolichophyllum	(S.Kitam.) S.Kitam.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Hippolytia	Hippolytia dolichophylla		Hippolytia dolichophylla GBIF 2685484
1644	Tanacetum elburensis	Tanacetum elbursense Mozaff.	Tanacetum elbursense	Mozaff.	15	1	changes made	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum elbursense		#N/A
1645	Tanacetum khorassanicum	Tanacetum khorassanicum (Krasch.) Tzvel.	Tanacetum khorassanicum	(Krasch.) Tzvel.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tzvelevopyrethrum	Tzvelevopyrethrum khorassanicum		Tzvelevopyrethrum khorassanicum GBIF 2685484
1646	Tanacetum larvatum	Tanacetum larvatum (Pant.) Hayek	Tanacetum larvatum	(Pant.) Hayek	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum larvatum		#N/A
1647	Tanacetum lingulatum	Tanacetum lingulatum (Boiss.) Bornm.	Tanacetum lingulatum	(Boiss.) Bornm.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Xylanthemum	Xylanthemum lingulatum		Xylanthemum lingulatum GBIF 2685484
1648	Tanacetum macrophyllum	Tanacetum macrophyllum Sch.Bip.	Tanacetum macrophyllum	Sch.Bip.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum macrophyllum		#N/A
1649	Tanacetum nubigenum	Tanacetum nubigenum Wall.	Tanacetum nubigenum	Wall.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum nubigenum		#N/A
1650	Tanacetum parthenium	Tanacetum parthenium Sch.Bip.	Tanacetum parthenium	Sch.Bip.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum parthenium		#N/A
1651	Tanacetum persicum	Tanacetum persicum (Boiss.) Mozaff.	Tanacetum persicum	(Boiss.) Mozaff.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum parthenium		Tanacetum parthenium GBIF 2685484
1652	Tanacetum polycephalum	Tanacetum polycephalum Sch.Bip.	Tanacetum polycephalum	Sch.Bip.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum polycephalum		#N/A
1653	Tanacetum polycephalum subsp. farsicum	Tanacetum polycephalum subsp. farsicum Podlech	Tanacetum polycephalum 	subsp. farsicum Podlech	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum polycephalum		#N/A
1654	Tanacetum vulgare (camphor chemotype)	Tanacetum vulgare L.	Tanacetum vulgare 	L. camphor chemotype	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Tanacetum vulgare		#N/A
1655	Taxodium distichum	Taxodium distichum Rich.	Taxodium distichum	Rich.	32	1		Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Taxodium	Taxodium distichum		#N/A
1656	Tephrosia cinerea	Tephrosia cinerea Pers.	Tephrosia cinerea	Pers.	68	1		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Tephrosia	Tephrosia cinerea		#N/A
1657	Tephrosia densiflora	Tephrosia densiflora Hook.f.	Tephrosia densiflora	Hook.f.	68	1		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Tephrosia	Tephrosia densiflora		#N/A
1658	Tephrosia egregia	Tephrosia egregia Sandwith	Tephrosia egregia	Sandwith	68	1		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Tephrosia	Tephrosia egregia		#N/A
1659	Tephrosia persica	Tephrosia persica Boiss.	Tephrosia persica	Boiss.	68	1		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Tephrosia	Tephrosia persica		#N/A
1660	Tephrosia vogelii	Tephrosia vogelii Hook.f.	Tephrosia vogelii	Hook.f.	68	1		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Tephrosia	Tephrosia vogelii		#N/A
1661	Tessaria absinthioides	Tessaria absinthioides DC.	Tessaria absinthioides	DC.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tessaria	Tessaria absinthioides		#N/A
1662	Tetraclinis articulata	Tetraclinis articulata Mast.	Tetraclinis articulata	Mast.	32	1		Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Tetraclinis	Tetraclinis articulata		#N/A
1663	Teucrium alopecurus	Teucrium alopecurus de Noé	Teucrium alopecurus	de Noé	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium alopecurus		#N/A
1664	Teucrium antitauricum	Teucrium antitauricum Ekim	Teucrium antitauricum	Ekim	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium antitauricum		#N/A
1665	Teucrium arduini	Teucrium arduinii L.	Teucrium arduinii	L.	47	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium arduinii		#N/A
1666	Teucrium atratum	Teucrium atratum Pomel	Teucrium atratum	Pomel	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium atratum		#N/A
1667	Teucrium botrys	Teucrium botrys L.	Teucrium botrys	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium botrys		#N/A
1668	Teucrium carolipaui	Teucrium carolipaui Vicioso ex Pau	Teucrium carolipaui	Vicioso ex Pau	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium carolipaui		#N/A
1669	Teucrium chamaed	Teucrium chamaedrys L.	Teucrium chamaedrys	L.	47	1	Typographical Error and the right spelling already exists	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium chamaedrys		#N/A
1670	Teucrium chamaedrys	Teucrium chamaedrys L.	Teucrium chamaedrys	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium chamaedrys		#N/A
1671	Teucrium creticum	Teucrium creticum L.	Teucrium creticum	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium creticum		#N/A
1672	Teucrium flavum	Teucrium flavum L.	Teucrium flavum	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium flavum		#N/A
1673	Teucrium mascatenses	Teucrium mascatense Boiss.	Teucrium mascatense	Boiss.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium mascatense		#N/A
1674	Teucrium massiliense	Teucrium massiliense L.	Teucrium massiliense	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium massiliense		#N/A
1675	Teucrium melissoides	Teucrium melissoides Boiss. & Hausskn. ex Boiss.	Teucrium melissoides	Boiss. & Hausskn. ex Boiss.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium melissoides		#N/A
1676	Teucrium monta	Teucrium montanum L.	Teucrium montanum	L.	47	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium montanum		#N/A
1677	Teucrium montanum	Teucrium montanum L.	Teucrium montanum	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium montanum		#N/A
1678	Teucrium multicaule	Teucrium multicaule Montbr. & Auch. ex Benth.	Teucrium multicaule	Montbr. & Auch. ex Benth.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium multicaule		#N/A
1679	Teucrium orientale	Teucrium orientale L.	Teucrium orientale	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium orientale		#N/A
1680	Teucrium persicum	Teucrium persicum Boiss.	Teucrium persicum	Boiss.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium persicum		#N/A
1681	Teucrium pestalozzae	Teucrium pestalozzae Boiss.	Teucrium pestalozzae	Boiss.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium pestalozzae		#N/A
1682	Teucrium polium	Teucrium polium L.	Teucrium polium	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium polium		#N/A
1683	Teucrium sandrasicum	Teucrium sandrasicum O.Schwarz	Teucrium sandrasicum	O.Schwarz	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium sandrasicum		#N/A
1684	Teucrium scordium	Teucrium scordium L.	Teucrium scordium	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium scordium		#N/A
1685	Teucrium stocksianum	Teucrium stocksianum Boiss.	Teucrium stocksianum	Boiss.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	Teucrium stocksianum		#N/A
1686	Thamnosciadium junceum	Thamnosciadium junceum (Sibth. & Sm.) Hartvig	Thamnosciadium junceum	(Sibth. & Sm.) Hartvig	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Thamnosciadium	Thamnosciadium junceum		#N/A
1687	Thamnosma montana	Thamnosma montana Torr. & Frem.	Thamnosma montana	Torr. & Frem.	84	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Thamnosma	Thamnosma montana		#N/A
1688	Thapsia garganica	Thapsia garganica L.	Thapsia garganica	L.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Thapsia	Thapsia garganica		#N/A
