pid	pname	scientificName (gbif)	Normalized name	Details	pfid	phid	Error	kingdom	phylum	class	order	family	genus	species		Synonym 
70	Allium fistulosum	Allium fistulosum L.	Allium fistulosum	L.	5	1		Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Allium	Allium fistulosum		#N/A
71	Allium sativum (L.)	Allium sativum L.	Allium sativum	L.	3	1		Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Allium	Allium sativum		#N/A
72	Alococarpum erianthum	Alococarpum erianthum (DC.) H.Riedl & Huber	Alococarpum erianthum	(DC.) H.Riedl & Huber	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Prangos	Prangos eriantha		Prangos eriantha GBIF 2685484
73	Aloysia gratissima	Aloysia gratissima (Gillies & Hook.) Tronc.	Aloysia gratissima	(Gillies & Hook.) Tronc.	97	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Aloysia	Aloysia gratissima		#N/A
74	Aloysia triphylla	Aloysia triphylla (L'Hér.) Britton	Aloysia triphylla	(L'Hér.) Britton	15	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Aloysia	Aloysia citrodora		#N/A
75	Alpinia calcarata	Alpinia calcarata Roscoe	Alpinia calcarata	Roscoe	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia calcarata		#N/A
76	Alpinia galanga	Alpinia galanga Willd.	Alpinia galanga	Willd.	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia galanga		#N/A
77	Alpinia laosensis	Alpinia laosensis Gagnep.	Alpinia laosensis	Gagnep.	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia conchigera		Alpinia conchigera GBIF 2685484
78	Alpinia malaccensis	Alpinia malaccensis Roscoe	Alpinia malaccensis	Roscoe	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia malaccensis		#N/A
79	Alpinia nutans	Alpinia nutans Rosc.	Alpinia nutans	Rosc.	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia nutans		#N/A
80	Alpinia purpurata	Alpinia purpurata K.Schum.	Alpinia purpurata	K.Schum.	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia purpurata		#N/A
81	Alpinia purpurata (pink)	Alpinia purpurata K.Schum.	Alpinia purpurata 	K.Schum. (pink)	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia purpurata		#N/A
82	Alpinia purpurata (red)	Alpinia purpurata K.Schum.	Alpinia purpurata 	K.Schum. (red)	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia purpurata		#N/A
