occurrenceId	verbatimScientificName	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species
	Amomum subulatum	Amomum subulatum Roxb.	5301632	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Amomum	Amomum subulatum
	Amoora rohituka	Amoora rohituka (Roxb.) Wight & Arn.	3850367	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Aphanamixis	Aphanamixis polystachya
	Amyris elimifera	Amyris elemifera L.	5421193	FUZZY	95	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Amyris	Amyris elemifera
	Anacardium humile	Anacardium humile St.Hil.	7862168	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Anacardium	Anacardium humile
	Anaphalis contorta	Anaphalis contorta Hook.f.	4933534	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Anaphalis	Anaphalis contorta
	Anemia tomentosa	Anemia tomentosa (Sav.) Sw.	8367147	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Polypodiopsida	Schizaeales	Anemiaceae	Anemia	Anemia tomentosa
	Anethum graveolens	Anethum graveolens L.	3034646	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Anethum	Anethum graveolens
	Angelica acutiloba	Angelica acutiloba (Siebold & Zucc.) Kitag.	5537879	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Angelica	Angelica acutiloba
	Angelica archangelica	Angelica archangelica L.	5371808	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Angelica	Angelica archangelica
	Angelica glauca	Angelica glauca Edgew.	5537742	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Angelica	Angelica glauca
	Angelica sylvestris	Angelica sylvestris L.	5371818	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Angelica	Angelica sylvestris
	Aniba riparia	Aniba riparia Mez	4180474	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Aniba	Aniba riparia
