99	Angelica archangelica	Angelica archangelica (L.)	Angelica archangelica		Angelica archangelica (L.)				Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Angelica	Angelica archangelica	99	11	1
100	Angelica glauca	Angelica glauca Edgew.	Angelica glauca		Angelica glauca Edgew.				Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Angelica	Angelica glauca	100	11	1
101	Angelica sylvestris	Angelica sylvestris (L.)	Angelica sylvestris		Angelica sylvestris (L.)				Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Angelica	Angelica sylvestris	101	11	1
102	Aniba riparia	Aniba riparia Mez	Aniba riparia		Aniba riparia Mez				Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Aniba	Aniba riparia	102	48	1
103	Aniba rosaeodora Ducke	Aniba rosaeodora Ducke	Aniba rosaeodora		Aniba rosaeodora Ducke				Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Aniba	Aniba rosaeodora	103	48	1
104	Aniba terminalis	Aniba terminalis Ducke	Aniba terminalis		Aniba terminalis Ducke				Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Aniba	Aniba terminalis	104	48	1
105	Annona cherimolia	Annona cherimolia Mill.	Annona cherimolia		Annona cherimolia Mill.				Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona cherimolia	105	9	1
106	Annona glabra	Annona glabra (L.)	Annona glabra		Annona glabra (L.)				Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona glabra	106	9	1
107	Annona montana	Annona montana Macfad. & R.E.Fr.	Annona montana		Annona montana Macfad. & R.E.Fr.				Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona montana	107	9	1
108	Annona reticulata L.	Annona reticulata (L.)	Annona reticulata		Annona reticulata (L.)				Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona reticulata	108	9	1
109	Anthemis altissima	Anthemis altissima (L.)	Anthemis altissima		Anthemis altissima (L.)				Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cota	Cota altissima	109	15	1
110	Anthemis carpatica	Anthemis carpatica Willd.	Anthemis carpatica		Anthemis carpatica Willd.				Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Anthemis	Anthemis cretica	110	15	1
111	Anthemis montana	Anthemis montana W.D.J.Koch	Anthemis montana		Anthemis montana W.D.J.Koch				Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Anthemis	Anthemis montana	111	15	1
112	Anthemis talyshensis	Anthemis talyschensis A.Fedor.	Anthemis talyschensis		Anthemis talyschensis A.Fedor.		Typographical error in specific epithet		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cota	Cota talyschensis	112	15	1
113	Anthemis tinctoria L.	Anthemis tinctoria (L.)	Anthemis tinctoria		Anthemis tinctoria (L.)				Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cota	Cota tinctoria	113	15	1
114	Anthemis triumfettii	Anthemis triumfettii (L.) DC.	Anthemis triumfettii		Anthemis triumfettii (L.) DC.				Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cota	Cota triumfettii	114	15	1
115	Anthocleista vogelii	Anthocleista vogelii Planch.	Anthocleista vogelii		Anthocleista vogelii Planch.				Plantae	Tracheophyta	Magnoliopsida	Gentianales	Gentianaceae	Anthocleista	Anthocleista vogelii	115	52	1
116	Anthriscus cerefolium	Anthriscus cerefolium Hoffm.	Anthriscus cerefolium		Anthriscus cerefolium Hoffm.				Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Anthriscus	Anthriscus cerefolium	116	11	1
117	Anvillea garcini	Anvillea garcinii DC.	Anvillea garcinii		Anvillea garcinii DC.		Typographical error in specific epithet		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Anvillea	Anvillea garcinii	117	15	1
118	Apium graueolens	Apium graveolens (L.)	Apium graveolens		Apium graveolens (L.)	Duplicate?	Typographical Error and the right spelling already exists	DELETED: [spelling error and duplicate entry for 119]	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Apium	Apium graveolens	118	11	1
119	Apium graveolens	Apium graveolens (L.)	Apium graveolens		Apium graveolens (L.)				Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Apium	Apium graveolens	119	11	1
120	Aquilaria agallocha	Aquilaria agallocha Roxb.	Aquilaria agallocha		Aquilaria agallocha Roxb.				Plantae	Tracheophyta	Magnoliopsida	Malvales	Thymelaeaceae	Aquilaria	Aquilaria agallocha	120	93	1
121	Arabidopsis thaliana	Arabidopsis thaliana (L.) Heynh.	Arabidopsis thaliana		Arabidopsis thaliana (L.) Heynh.				Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Arabidopsis	Arabidopsis thaliana	121	20	1
